Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,11151578051.0,12434370005.0,11396310990.0,15498179313.0,10600157684.0,9643953175.0,10513387442.0,10833497458.0,10612847429.0,11198378749.0,10083937740.0,10371327756.0,11579343088.0,14548845765.0,17430933517.0,17944084201.0,19356046328.0,22365265026.0,26409781215.0,26017925552.0,26169323293.0,29375448542.0,29102772799.0,32357345501.0,34989493826.0,30928653814.0,32643697596.0,35009262788.0,38694095651.0,38760467033.0
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,9349764580.0,9625436873.0,8227343907.0,10706259937.0,5820382248.0,5643439376.0,5771454940.0,6090840548.0,6215591270.0,4711259427.0,19088046306.0,7438189100.0,8728038525.0,8937567060.0,10297483481.0,11964484668.0,14451902468.0,16737071816.0,19788515874.0,18648373312.0,21565720044.0,25839749199.0,29306235826.0,32679745298.0,35909040266.0,37917704900.0,37134799975.0,38019265626.0,46831342213.0,47319624204.0
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,2798746051.0,2724853593.0,2933222714.0,1918970032.0,1769365425.0,2116003978.0,2540697688.0,2322718991.0,1949481297.0,2353909564.0,3219910550.0,2794259783.0,3019993739.0,3495868808.0,4648628921.0,6087003176.0,7731261311.0,8394688284.0,11859013281.0,9593537551.0,12019594809.0,14444509756.0,13677147848.0,14089855509.0,14196322768.0,8556594871.0,9041986778.0,9035182062.0,11662700148.0,10820591131.0
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,47844090710.0,49175565911.0,58418985443.0,66446804803.0,81703500846.0,92507279383.0,97160109278.0,106660000000.0,98443739941.0,86186158685.0,99886577331.0,98211751482.0,97963002599.0,94641380064.0,117082000000.0,145619000000.0,161619000000.0,206182000000.0,242187000000.0,232398000000.0,286563000000.0,334944000000.0,370921000000.0,382116000000.0,381112000000.0,293482000000.0,282825000000.0,311884000000.0,333569000000.0,323803000000.0
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,429622147.7,424108796.6,457388578.9,452881443.1,319189200.4,398461789.6,396053797.6,364445589.7,370106776.0,382454989.9,350264287.7,378180913.4,423962976.7,545658929.0,632570092.2,653584808.7,697810988.1,794621676.5,911967428.7,901711442.3,907978723.5,1023086184.0,1015843369.0,1116224161.0,1149587652.0,966029542.0,1012835518.0,1077439663.0,1178530758.0,1185728677.0
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,306891107.3,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979069.3,490608657.9,521910560.5,592416703.1,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063.0,1513933983.0,1789333749.0,1711817182.0,1664310770.0,1865915544.0,1741809809.0,1850470042.0,1859898513.0,1596800287.0,1662998678.0,1769787215.0,1966983316.0,1981845741.0
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,5711687787.0,7168999670.0,8528593421.0,9537297723.0,10432619325.0,11513472786.0,11618286652.0,12552071488.0,13617405297.0,14195623343.0,14949514493.0,15913363441.0,16504795593.0,17196009811.0,18528955525.0,19948261084.0,22602721765.0,26743972564.0,30612927059.0,30562361123.0,37268614024.0,42262697840.0,46473128286.0,49745088112.0,50577769838.0,54775994479.0,57157992434.0,58481858043.0,60553901420.0,61773944174.0
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,18011674585.0,17843522924.0,17570521376.0,18998042394.0,19981133734.0,22033816335.0,24055637180.0,28177580886.0,30105049029.0,31909169732.0,34214097415.0,35249481796.0,36982219228.0,39530782033.0,43258087269.0,48908549560.0,54720627529.0,60911443518.0,69201370935.0,58250029912.0,63364789294.0,68552917331.0,70849598299.0,72231768542.0,73185354885.0,71787351548.0,68222566249.0,69913144887.0,73459161489.0,76290373254.0
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,28645436569.0,24316556026.0,22085858243.0,22367254865.0,28448326757.0,30429803651.0,25017368700.0,25365908100.0,25736331200.0,28364615200.0,30565400000.0,31682400000.0,33590500000.0,35901200000.0,38203000000.0,42643836100.0,52742800000.0,58603900000.0,60806300000.0,62080000000.0,64328000000.0,68990000000.0,73141000000.0,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0,100023000000.0,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,3038699609.0,3131096089.0,3147616201.0,3158406034.0,3151910782.0,3122287933.0,3116610112.0,3127908045.0,
