Year,Country,Country ID,ECI
1967,Sweden,euswe,2.06452
1967,Canada,nacan,0.75826
1967,Costa Rica,nacri,0.687943
1967,Dominican Republic,nadom,-0.73996
1967,Guatemala,nagtm,0.178804
1967,Honduras,nahnd,-0.333715
1967,Jamaica,najam,-0.456648
1967,Mexico,namex,0.031729
1967,Nicaragua,nanic,0.02291
1967,Panama,napan,0.702627
1967,El Salvador,naslv,0.443734
1967,Trinidad and Tobago,natto,-0.183314
1967,United States,nausa,1.75501
1967,Australia,ocaus,0.183548
1967,New Zealand,ocnzl,0.23008
1967,Argentina,saarg,-0.281353
1967,Bolivia,sabol,-0.841633
1967,Brazil,sabra,-0.849452
1967,Chile,sachl,-0.025874
1967,Colombia,sacol,-0.020913
1967,Ecuador,saecu,-0.782771
1967,Peru,saper,-0.593102
1967,Paraguay,sapry,-0.493552
1967,Uruguay,saury,0.278787
1967,Venezuela,saven,-0.290236
1968,Angola,afago,-1.23318
1968,Cote d'Ivoire,afciv,-1.00629
1968,Cameroon,afcmr,-0.758248
1968,Republic of the Congo,afcog,-0.857768
1968,Algeria,afdza,-0.469397
1968,Egypt,afegy,-0.152495
1968,Ethiopia,afeth,-0.932435
1968,Gabon,afgab,-1.24293
1968,Ghana,afgha,-0.773767
1968,Guinea,afgin,-1.09043
1968,Kenya,afken,-0.731571
1968,Morocco,afmar,-0.387013
1968,Madagascar,afmdg,-1.0524
1968,Mozambique,afmoz,-0.869069
1968,Mauritania,afmrt,-1.01189
1968,Nigeria,afnga,-1.43376
1968,Sudan,afsdn,-1.18166
1968,Senegal,afsen,-0.377609
1968,Togo,aftgo,-1.01094
1968,Tunisia,aftun,-0.239807
1968,Tanzania,aftza,-1.23856
1968,South Africa,afzaf,-0.383453
1968,Zambia,afzmb,-0.792187
1968,Zimbabwe,afzwe,0.922071
1968,United Arab Emirates,asare,1.02527
1968,China,aschn,0.564777
1968,Hong Kong,ashkg,1.28635
1968,Indonesia,asidn,-1.10962
1968,India,asind,-0.069321
1968,Iran,asirn,-0.823465
1968,Israel,asisr,0.627411
1968,Jordan,asjor,0.495193
1968,Japan,asjpn,1.92797
1968,Cambodia,askhm,-0.870425
1968,South Korea,askor,0.708068
1968,Kuwait,askwt,-1.10223
1968,Laos,aslao,-0.815614
1968,Lebanon,aslbn,0.490028
1968,Sri Lanka,aslka,-1.11778
1968,Burma,asmmr,-1.06872
1968,Malaysia,asmys,-0.439566
1968,Oman,asomn,-1.33728
1968,Pakistan,aspak,-0.367673
1968,Philippines,asphl,-0.479011
1968,Qatar,asqat,-1.61823
1968,Saudi Arabia,assau,-0.943115
1968,Singapore,assgp,0.256625
1968,Syria,assyr,-0.255758
1968,Thailand,astha,-0.870876
1968,Turkey,astur,-0.864073
1968,Vietnam,asvnm,-0.015737
1968,Albania,eualb,0.056063
1968,Austria,euaut,1.98078
1968,Belgium,eubel,1.53657
1968,Bulgaria,eubgr,0.486855
1968,Switzerland,euche,2.1625
1968,Germany,eudeu,2.29043
1968,Denmark,eudnk,1.30555
1968,Spain,euesp,0.602475
1968,Finland,eufin,1.38039
1968,France,eufra,1.75071
1968,United Kingdom,eugbr,2.0158
1968,Greece,eugrc,0.172181
1968,Hungary,euhun,1.10248
1968,Ireland,euirl,0.948167
1968,Italy,euita,1.81562
1968,Netherlands,eunld,1.30488
1968,Norway,eunor,1.38974
1968,Poland,eupol,0.882682
1968,Portugal,euprt,0.895702
1968,Romania,eurou,0.464902
1968,Sweden,euswe,2.05498
1968,Canada,nacan,0.803205
1968,Costa Rica,nacri,0.659682
1968,Dominican Republic,nadom,-0.826126
1968,Guatemala,nagtm,0.205069
1968,Honduras,nahnd,-0.197737
1968,Jamaica,najam,-0.343456
1968,Mexico,namex,0.036176
1968,Nicaragua,nanic,0.080425
1968,Panama,napan,0.900246
1968,El Salvador,naslv,0.579651
1968,Trinidad and Tobago,natto,0.019173
1968,United States,nausa,1.80736
1968,Australia,ocaus,0.268314
1968,New Zealand,ocnzl,0.116224
1968,Argentina,saarg,-0.2747
1968,Bolivia,sabol,-0.876756
1968,Brazil,sabra,-0.702449
1968,Chile,sachl,-0.20273
1968,Colombia,sacol,-0.168593
1968,Ecuador,saecu,-0.891331
1968,Peru,saper,-0.697814
1968,Paraguay,sapry,-0.587674
1968,Uruguay,saury,0.335919
1968,Venezuela,saven,-0.394938
1969,Angola,afago,-1.22352
1969,Cote d'Ivoire,afciv,-1.18414
1969,Cameroon,afcmr,-0.843236
1969,Republic of the Congo,afcog,-0.844418
1969,Algeria,afdza,-0.521161
1969,Egypt,afegy,-0.214962
1969,Ethiopia,afeth,-0.87046
1969,Gabon,afgab,-1.41464
1969,Ghana,afgha,-0.851496
1969,Guinea,afgin,-1.16134
1969,Kenya,afken,-0.752076
1969,Morocco,afmar,-0.411634
1969,Madagascar,afmdg,-1.05855
1969,Mozambique,afmoz,-0.821813
1969,Mauritania,afmrt,-0.541496
1969,Nigeria,afnga,-1.6612
1969,Sudan,afsdn,-1.39571
1969,Senegal,afsen,-0.425614
1969,Togo,aftgo,-1.36065
1969,Tunisia,aftun,-0.084226
1969,Tanzania,aftza,-1.30574
1969,South Africa,afzaf,-0.409667
1969,Zambia,afzmb,-0.842796
1969,Zimbabwe,afzwe,1.08494
1969,United Arab Emirates,asare,0.693872
1969,China,aschn,0.541641
1969,Hong Kong,ashkg,1.26272
1969,Indonesia,asidn,-1.0897
1969,India,asind,0.052822
1969,Iran,asirn,-0.76819
1969,Israel,asisr,0.712611
1969,Jordan,asjor,0.596004
1969,Japan,asjpn,1.94451
1969,Cambodia,askhm,-0.922801
1969,South Korea,askor,0.732955
1969,Kuwait,askwt,-0.991073
1969,Laos,aslao,-0.923599
1969,Lebanon,aslbn,0.533752
1969,Sri Lanka,aslka,-0.908343
1969,Burma,asmmr,-1.13729
1969,Malaysia,asmys,-0.579548
1969,Oman,asomn,-1.40809
1969,Pakistan,aspak,-0.368162
1969,Philippines,asphl,-0.540272
1969,Qatar,asqat,-0.645333
1969,Saudi Arabia,assau,-0.62291
1969,Singapore,assgp,0.131842
1969,Syria,assyr,-0.502398
1969,Thailand,astha,-0.841727
1969,Turkey,astur,-0.850097
1969,Vietnam,asvnm,-0.201158
1969,Albania,eualb,0.061086
1969,Austria,euaut,1.92701
1969,Belgium,eubel,1.52145
1969,Bulgaria,eubgr,0.530517
1969,Switzerland,euche,2.09088
1969,Germany,eudeu,2.28258
1969,Denmark,eudnk,1.32305
1969,Spain,euesp,0.805464
1969,Finland,eufin,1.45759
1969,France,eufra,1.73018
1969,United Kingdom,eugbr,2.03973
1969,Greece,eugrc,0.117929
1969,Hungary,euhun,1.02343
1969,Ireland,euirl,0.879141
1969,Italy,euita,1.80442
